"locator_domain","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation"
"https://www.birkenstock.com","City Streets","1275 Broadway","New York","NY","10003","US","64030-4","(212) 244-4638","regular","40.749381","-73.989332","<MISSING>"
"https://www.birkenstock.com","Foot Locker","112 W 34Th St","New York","NY","10120","US","footl_2","212 760-2311","regular","40.749958","-73.988686","<MISSING>"
"https://www.birkenstock.com","New Via Mode","404 Washington St","Hoboken","NJ","07030","US","64034-1","(201) 217-6727","regular","40.741558","-74.029949","<MISSING>"
"https://www.birkenstock.com","Fashion7","499 Fashion Ave","New York","NY","10018","US","64022-1","(212) 380-7904","regular","40.752631","-73.989097","<MISSING>"
"https://www.birkenstock.com","The Standard Shop Highline","444 West 13th St.","New York","NY","10014","US","64679-2","212- 784-5520","regular","40.741169","-74.007968","<MISSING>"
"https://www.birkenstock.com","Chelsea Cobbler (Store & Repair)","196 7th Ave","New York","NY","10011","US","64116-1","(212) 675-0718","regular","40.743266","-73.996694","<MISSING>"
"https://www.birkenstock.com","Shoegasm","333 7th Ave","New York","NY","10001","US","63942-5","(212) 741-3288","regular","40.747462","-73.992921","<MISSING>"
"https://www.birkenstock.com","Eneslow Shoes & Orthotics (Store & Repair)","470 Park Ave S","New York","NY","10016","US","59060-1","(212) 477-2300","regular","40.745735","-73.982694","<MISSING>"
"https://www.birkenstock.com","Westerlind DC","109 S 6th Street 2nd FL","Brooklyn","NY","11249","US","63981-5","212 219-1020","regular","40.7108","-73.96419","<MISSING>"
"https://www.birkenstock.com","Nepenthes NY","307 W 38th St","New York","NY","10018","US","63666-1","(212) 643-9540","regular","40.755077","-73.992258","<MISSING>"
"https://www.birkenstock.com","BIRKENSTOCK STORE SOHO","120 Spring St","New York","NY","10012","US","bs_1","+1 646 850 6940","regular","40.72357","-74.000183","Sunday 11am - 7pm,Monday 10am - 8pm,Tuesday 10am - 8pm,Wednesday 10am - 8pm,Thursday 10am - 8pm,Friday 10am - 8pm,Saturday 10am - 8pm"
"https://www.birkenstock.com","Saga Footwear","456 Broadway","New York","NY","10013","US","42791-2","(212) 625-0775","regular","40.720506","-74.000545","<MISSING>"
"https://www.birkenstock.com","Kith","337 Lafayette St","New York","NY","10012","US","64648-7","646- 648-6285","regular","40.726143","-73.994472","<MISSING>"
"https://www.birkenstock.com","Harry's Shoes for Kids","2315 Broadway","New York","NY","10024","US","3585-2","(855) 642-7797","regular","40.78709","-73.97805","<MISSING>"
"https://www.birkenstock.com","Harry's Shoes","2299 Broadway","New York","NY","10024","US","3585-1","(855) 642-7797","regular","40.786435","-73.978186","<MISSING>"
"https://www.birkenstock.com","Good Footing Adventure","316 7th Ave","Brooklyn","NY","11215","US","62883-2","(718) 768-9500","regular","40.667452","-73.981378","<MISSING>"
"https://www.birkenstock.com","Eneslow Shoes & Orthotics","1319 Third Ave","New York","NY","10021","US","59060-4","<MISSING>","regular","40.772038","-73.958931","<MISSING>"
"https://www.birkenstock.com","Lester's  Shoes","1534 2nd Ave","New York","NY","10021","US","60893-4","(212) 734-9292","regular","40.773681","-73.954493","<MISSING>"
"https://www.birkenstock.com","Eneslow Shoes & Orthotics","1504 2nd Ave","New York","NY","10075","US","59060-3","(212) 249-3800","regular","40.773009","-73.955291","<MISSING>"
"https://www.birkenstock.com","Tip Top Kids","149 W 72 St","New York","NY","10023","US","150-2","(212) 874-1003","regular","40.778372","-73.980325","<MISSING>"
"https://www.birkenstock.com","Tip Top Shoes","155 W 72nd  St","New York","NY","10023","US","150-1","(212) 787-4960","regular","40.778417","-73.980556","<MISSING>"
"https://www.birkenstock.com","Windsor Shoes","484 5th Ave","Brooklyn","NY","11215","US","62986-2","(718) 369-3700","regular","40.667893","-73.987666","<MISSING>"
"https://www.birkenstock.com","DNA Footwear","230 7th Ave","Brooklyn","NY","11215","US","62841-ny2","(718) 965-1101","regular","40.670184","-73.97923","<MISSING>"
"https://www.birkenstock.com","Piazza Della Sole","620 Valley Rd","Montclair","NJ","07043","US","63836-1","(973) 783-9243","regular","40.841847","-74.208176","<MISSING>"
"https://www.birkenstock.com","Sweet Soles","255 Bellevue Ave","Montclair","NJ","07043","US","64559-1","(973) 707-2068","regular","40.842526","-74.208383","<MISSING>"
"https://www.birkenstock.com","Murdoch Shoes (Store & Repair)","623 Bloomfield Ave","Bloomfield","NJ","07003","US","63626-1","(973) 748-6484","regular","40.795099","-74.198777","<MISSING>"
