"locator_domain","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation"
"http://www.finishmaster.com","003 Muskegon, MI","3610 Airline Rd.","Muskegon","MI","49444","US","<MISSING>","231-733-2668","FinishMaster | Automotive and Industrial Paint Refinishing Leaders","43.188589","-86.231256","Mon-Fri: 8:00am - 5:00pm Sat: Closed"
"http://www.finishmaster.com","004 Burton, MI","G-4189 Fenton Rd.","Burton","MI","48529","US","<MISSING>","810-239-9403","FinishMaster | Automotive and Industrial Paint Refinishing Leaders","42.961695","-83.692608","Mon-Fri: 8:00am - 5:00pm Sat: Closed"
"http://www.finishmaster.com","006 Saginaw, MI","3965 Fortune Rd.","Saginaw","MI","48603","US","<MISSING>","989-791-4559","FinishMaster | Automotive and Industrial Paint Refinishing Leaders","43.46447","-83.980415","Mon-Fri: 8:30am - 4:30pm Sat: Closed"
"http://www.finishmaster.com","007 Mishawaka, IN","945 E. 12th Street","Mishawaka","IN","46544","US","<MISSING>","574-256-1796","FinishMaster | Automotive and Industrial Paint Refinishing Leaders","41.651208","-86.166216","Mon-Fri: 8:00am - 5:00pm Sat: Closed"
"http://www.finishmaster.com","008 Farmington Hills, MI","24600 Drake Rd.","Farmington Hills","MI","48335","US","<MISSING>","248-477-5002","FinishMaster | Automotive and Industrial Paint Refinishing Leaders","42.471352","-83.396344","Mon-Fri: 8:00am - 4:00pm Sat: Closed"
"http://www.finishmaster.com","010 Wyoming, MI","4310 Roger B Chaffee Memorial Blvd SE","Wyoming","MI","49548","US","<MISSING>","616-538-3530","FinishMaster | Automotive and Industrial Paint Refinishing Leaders","42.885657","-85.650998","Mon-Fri: 8:00am - 5:00pm Sat: Closed"
"http://www.finishmaster.com","013 Fraser, MI","33735 Groesbeck Hwy","Fraser","MI","48026","US","<MISSING>","586-285-9862","FinishMaster | Automotive and Industrial Paint Refinishing Leaders","42.545662","-82.930197","Mon-Fri: 8:00am - 5:00pm Sat: Closed"
"http://www.finishmaster.com","019 Carol Stream, IL","296 Carlton Drive","Carol Stream","IL","60188","US","<MISSING>","630-668-4617","FinishMaster | Automotive and Industrial Paint Refinishing Leaders","41.896895","-88.109294","Mon-Fri: 8:00am - 5:00pm Sat: Closed"
"http://www.finishmaster.com","021 West Allis, WI","440 S. Curtis Road","West Allis","WI","53214","US","<MISSING>","414-771-9300","FinishMaster | Automotive and Industrial Paint Refinishing Leaders","43.026613","-88.0595836","Mon-Fri: 8:00am - 5:00pm Sat: Closed"
"http://www.finishmaster.com","022 Madison, WI","6626 Watts Rd.","Madison","WI","53719","US","<MISSING>","608-273-4704","FinishMaster | Automotive and Industrial Paint Refinishing Leaders","43.050113","-89.496447","Mon-Fri: 8:00am - 5:00pm Sat: Closed"
"http://www.finishmaster.com","023 West Bend, WI","245 Stockhausen Lane","West Bend","WI","53095","US","<MISSING>","262-338-1151","FinishMaster | Automotive and Industrial Paint Refinishing Leaders","43.422218","-88.146423","Mon-Fri: 8:00am - 5:00pm Sat: Closed"
