"locator_domain","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation"
"http://kuehne-nagel.com","Calgary","5970 Centre St SE","Calgary","AB","T2H 0C1","CA","1000170574","14037178620","Kuehne + Nagel","50.9996","-114.0622","Mon-Fri 08:30-17:00h"
"http://kuehne-nagel.com","Edmonton","12810 170 St NW","Edmonton","AB","T5V 0A6","CA","1000210668","17804471370","Kuehne + Nagel","53.5854","-113.6153","Mon-Fri 08:30-17:00h"
"http://kuehne-nagel.com","Fort Erie","1243 Garrison Rd","Fort Erie","ON","L2A 1P2","CA","1000318078","19058718055","Kuehne + Nagel","42.9047","-78.9613","Mon-Sun 0:00-11:59h  24 hours/7 days"
"http://kuehne-nagel.com","Halifax","1701 Hollis Street","Halifax","NS","B3J 3M8","CA","1000210669","19024206500","Kuehne + Nagel","44.6525","-63.5745","Mon-Fri 08:30-17:00h"
"http://kuehne-nagel.com","Kitchener","221-B McIntyre Dr","Kitchener","ON","N2R 1G1","CA","1000074171","15198936141","Kuehne + Nagel","43.4027","-80.4803","Mon-Fri 08:30-17:00h"
"http://kuehne-nagel.com","Kitimat","450 City Centre","Kitimat","BC","V8C 1T0","CA","1001270971","17786312162","Kuehne + Nagel","54.0531","-128.6532","Mon-Fri 08:30-17:00h"
"http://kuehne-nagel.com","London","2480 Huron St","London","ON","N5V 0B1","CA","1000152870","15194514549","Kuehne + Nagel","43.0349","-81.1616","Mon-Fri 08:30-17:00h"
"http://kuehne-nagel.com","Montreal","800 Stuart Graham South","Dorval","QC","H4Y 1J6","CA","1000402899","15146312494","Kuehne + Nagel","45.4586","-73.7628","Mon-Fri 08:30-17:00h"
"http://kuehne-nagel.com","Montreal","3510 Saint-Laurent Blvd","Montreal","QC","H2X 2V2","CA","1000102087","15143979900","Kuehne + Nagel","45.5130","-73.5708","Mon-Fri 08:30-17:00h"
"http://kuehne-nagel.com","North Bay","101 Worthington St E","North Bay","ON","P1B 1G5","CA","1000655193","17054952159","Kuehne + Nagel","46.3114","-79.4619","Mon-Fri 08:30-17:00h"
"http://kuehne-nagel.com","Ottawa","240 Kennevale Dr","Nepean","ON","K2J 6B6","CA","1000075753","16138439710 or 16138431109","Kuehne + Nagel","45.3518","-75.6523","Mon-Fri 08:30-17:00h"
"http://kuehne-nagel.com","Quebec","825 Lebourgneuf Blvd","Quebec","QC","G2J 0B9","CA","1000210670","14182630009","Kuehne + Nagel","46.8420","-71.2875","Mon-Fri 08:30-17:00h"
"http://kuehne-nagel.com","St. John's","1 Church Hill","St. JOHN'S","NL","A1C 3Z7","CA","1001886547","17097398636","Kuehne + Nagel","47.5645","-52.7080","8:30 a.m. to 5:00 p.m."
"http://kuehne-nagel.com","Toronto","100 Alfred Kuehne Blvd","Brampton","ON","L6T 4K4","CA","1000350271","19057916661","Kuehne + Nagel","43.6985","-79.6895","Mon-Fri 08:30-17:00h"
"http://kuehne-nagel.com","Toronto","6200 Millcreek Dr","Mississauga","ON","L5N 0B5","CA","1000655151","19055673666","Kuehne + Nagel","43.5873","-79.7319","Mon-Fri 08:30-17:00h"
"http://kuehne-nagel.com","Toronto","2300 Hogan Dr","Mississauga","ON","L5N 0C8","CA","1000939020","19055674168","Kuehne + Nagel","43.5813","-79.7317","Mon-Fri 08:30-17:00h"
"http://kuehne-nagel.com","Toronto","6170 Edwards Blvd","Mississauga","ON","L5T 2V7","CA","1000655145","19056706901","Kuehne + Nagel","43.6348","-79.6816","Mon-Fri 8:30-17:00h"
"http://kuehne-nagel.com","Toronto","77 Foster Cres","Mississauga","ON","L5R 0K1","CA","1000172095","19055027776","Kuehne + Nagel","43.6256","-79.6851","Mon - Fri 08:30-17:00h"
"http://kuehne-nagel.com","Toronto","6335 Edwards Blvd","Mississauga","ON","L5T 2W7","CA","1000156196","19056706901","Kuehne + Nagel","43.6362","-79.6857","Mon-Fri 08:30-17:00h"
"http://kuehne-nagel.com","Toronto","275 Pendant Dr","Mississauga","ON","L5T 2W9","CA","1000236087","19056706901","Kuehne + Nagel","43.6376","-79.6844","Mon-Fri 08:30-17:00h"
"http://kuehne-nagel.com","Vancouver","5000 Miller Rd","Richmond","BC","V7B 1K6","CA","1000484900","16042440855","Kuehne + Nagel","49.1917","-123.1680","Mon-Fri 8:30-17:00h"
