"locator_domain","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation"
"https://planetbeach.com","Fairhope","325 Greeno Road S","Fairhope","AL","36532","US","<MISSING>","(251) 990-0997","Planet Beach spray and spa","30.5175817","-87.88548530000003","Mon-Thurs: 9:00 am-8:00 pm Fri: 9:00 am-6:00 pm Sat: 9:00 am-4:00 pm Sun: 1:00 pm-4:00 pm"
"https://planetbeach.com","Anchorage","2001 East 88th Ave Suite 101","Anchorage","AK","99507","US","<MISSING>","(907) 346-7727","Planet Beach spray and spa","61.14139979999999","-149.8453907","Mon-Thurs: 10:00 am-8:00 pm Fri: 10:00 am-8:00 pm Sat: 11:00 am-6:00 pm Sun: 11:00 am-6:00 pm"
"https://planetbeach.com","Oro Valley","12112 N Rancho Vistoso Blvd A-160","Oro Valley","AZ","85755","US","<MISSING>","(520) 877-8266","Planet Beach spray and spa","32.4263727","-110.95924050000002","Mon-Thurs: 9:00 am-9:00 pm Fri: 9:00 am-6:00 pm Sat: 10:00 am-5:00 pm Sun: 10:00 am-5:00 pm"
"https://planetbeach.com","Arrowhead Ranch","6070 W Behrend Dr Ste 139","Glendale","AZ","85308","US","<MISSING>","(623) 561-9100","Planet Beach spray and spa","33.6661991","-112.19194900000002","Mon-Thurs: 8:00 am-7:00 pm Fri: 8:00 am-7:00 pm Sat: 9:00 am-3:00 pm Sun: 9:00 am-3:00 pm"
"https://planetbeach.com","Oracle Road","4246 N 1st Ave Suite 160","Tucson","AZ","85719","US","<MISSING>","(520) 623-0772","Planet Beach spray and spa","32.28475929999999","-110.95950149999999","Mon-Thurs: 10:00 am-8:00 pm Fri: 10:00 am-7:00 pm Sat: 10:00 am-4:00 pm Sun: 10:00 am-4:00 pm"
"https://planetbeach.com","Milpitas","527 E Calaveras Blvd","Milpitas","CA","95035","US","<MISSING>","(408) 262-8772","Planet Beach spray and spa","37.4347463","-121.89844670000002","Mon-Thurs: 9:00 am-8:30 pm Fri: 9:00 am-7:00 pm Sat: 10:00 am-5:00 pm Sun: 12:00 pm-5:00 pm"
"https://planetbeach.com","West Los Angeles","1914 S Bundy Dr","Los Angeles","CA","90025","US","<MISSING>","(310) 826-6600","Planet Beach spray and spa","34.0350463","-118.4559185","Mon-Thurs: 5:00 am-11:59 pm Fri: 5:00 am-10:00 pm Sat: 6:00 am-8:00 pm Sun: 6:00 am-8:00 pmSTAFFED HOURS Tues-Thurs: 11am-9pm Fri: 11am-8pm | Sat: 11am- 4pm"
"https://planetbeach.com","Chino Hills","13890 Peyton Drive Suite C","Chino Hills","CA","91709","US","<MISSING>","(909) 465-9911","Planet Beach spray and spa","34.000602","-117.73309799999998","Mon-Thurs: 8:30 am-9:00 pm Fri: 8:30 am-8:00 pm Sat: 8:30 am-5:00 pm Sun: 10:30 am-4:00 pm"
"https://planetbeach.com","Modesto- Standiford","1320 Standiford Ave","Modesto","CA","95350","US","<MISSING>","(209) 579-1330","Planet Beach spray and spa","37.6888612","-121.01405779999999","Mon-Thurs: 9:00 am-9:00 pm Fri: 9:00 am-8:00 pm Sat: 9:00 am-4:00 pm Sun: 11:00 am-4:00 pm"
"https://planetbeach.com","Brentwood","4530 Balfour Rd Suite A","Brentwood","CA","94513","US","<MISSING>","(925) 634-9826","Planet Beach spray and spa","37.9245185","-121.69449959999997","Mon-Thurs: 9:00 am-9:00 pm Fri: 9:00 am-9:00 pm Sat: 9:30 am-4:00 pm Sun: 10:00 am-4:00 pm"
