"locator_domain","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation"
"https://www.ywca.org/","YWCA Adams County","604 N Saint Joseph Ave","Hastings","NE","68901-7530","US","<MISSING>","402-462-8821","YWCA","40.589052","-98.387202","<MISSING>"
"https://www.ywca.org/","YWCA Alaska","324 E 5th Ave","Anchorage","AK","99501-2633","US","<MISSING>","907-644-9600","YWCA","61.217282","-149.878025","<MISSING>"
"https://www.ywca.org/","YWCA Alexandria-Pineville","5912 James St","Alexandria","LA","71303-2015","US","<MISSING>","(318) 442-3397","YWCA","31.268387","-92.49253","<MISSING>"
"https://www.ywca.org/","YWCA Allentown","1101 West Hamilton Street","Allentown","PA","18101","US","<MISSING>","610) 871-5060","YWCA","40.600298","-75.480214","<MISSING>"
"https://www.ywca.org/","YWCA Alliance","239 E Market St","Alliance","OH","44601-2530","US","<MISSING>","330-823-1840","YWCA","40.920693","-81.101807","<MISSING>"
"https://www.ywca.org/","YWCA Alton","304 E 3rd St","Alton","IL","62002-2406","US","<MISSING>","618-465-7774","YWCA","38.890924","-90.181511","<MISSING>"
"https://www.ywca.org/","YWCA Ames-Iowa State University","""808 Hayward Street, Iowa State University""","Ames","IA","50011","US","<MISSING>","515-294-1663","YWCA","42.026619","-93.646465","<MISSING>"
"https://www.ywca.org/","YWCA Annapolis & Anne Arundel Co","""1517 Ritchie Highway, Suite 201""","Arnold","MD","21012-2561","US","<MISSING>","410-626-7800","YWCA","39.027083","-76.500913","<MISSING>"
"https://www.ywca.org/","YWCA Asheville & Western North Carolina","185 S French Broad Ave","Asheville","NC","28801-3954","US","<MISSING>","828-254-7206","YWCA","35.587356","-82.560005","<MISSING>"
"https://www.ywca.org/","YWCA Aurora","""347 S. Gladstone, Aurora, IL""","Aurora","IL","60506","US","<MISSING>","630-299-2282","YWCA","41.754921","-88.347695","<MISSING>"
"https://www.ywca.org/","YWCA Beaumont","""700 North Street, Suite N""","Beaumont","TX","77701","US","<MISSING>","(409) 899-1011","YWCA","30.087666","-94.101575","<MISSING>"
"https://www.ywca.org/","YWCA Bellingham","1026 North Forest Street","Bellingham","WA","98225","US","<MISSING>","360-734-4820","YWCA","48.745314","-122.478899","<MISSING>"
"https://www.ywca.org/","YWCA Bergen County","214 State Street","Hackensack","NJ","07601-6210","US","<MISSING>","(201) 881-1700","YWCA","40.885143","-74.043691","<MISSING>"
"https://www.ywca.org/","YWCA Berkeley/Oakland","2600 Bancroft Way","Berkeley","CA","94704-1717","US","<MISSING>","510-848-6370","YWCA","37.868707","-122.256482","<MISSING>"
"https://www.ywca.org/","YWCA Bethlehem","""3895 Adler Pl, Building A, Suite 180""","Bethlehem","PA","18017-9092","US","<MISSING>","(610) 867-4669","YWCA","40.66976","-75.38254","<MISSING>"
"https://www.ywca.org/","YWCA Billings","909 Wyoming Ave","Billings","MT","59101-1638","US","<MISSING>","(406) 245-4472","YWCA","45.778312","-108.539072","<MISSING>"
"https://www.ywca.org/","YWCA Binghamton & Broome County","80 Hawley Street","Binghamton","NY","13901-3805","US","<MISSING>","607-772-0340","YWCA","42.097093","-75.909895","<MISSING>"
"https://www.ywca.org/","YWCA Black Hawk County","425 Lafayette Street","Waterloo","IA","50703","US","<MISSING>","319.234.7589","YWCA","42.500142","-92.336223","<MISSING>"
"https://www.ywca.org/","YWCA Boston","140 Clarendon Street","Boston","MA","02116-4311","US","<MISSING>","(617) 585-5400","YWCA","42.34863","-71.07446","<MISSING>"
"https://www.ywca.org/","YWCA Boulder County","2222 14th St","Boulder","CO","80302-4842","US","<MISSING>","303-443-0419","YWCA","40.021235","-105.278018","<MISSING>"
"https://www.ywca.org/","YWCA Bradford","24 W Corydon St","Bradford","PA","16701-2231","US","<MISSING>","(814) 368-4235","YWCA","41.954523","-78.652331","<MISSING>"
"https://www.ywca.org/","YWCA Brooklyn","30 3rd Avenue","Brooklyn","NY","11217-2129","US","<MISSING>","718-875-1190","YWCA","40.685827","-73.980555","<MISSING>"
"https://www.ywca.org/","YWCA Bucks County","2425 Trevose Rd","Trevose","PA","19053-6526","US","<MISSING>","215-953-7793 ","YWCA","40.13228","-74.993362","<MISSING>"
"https://www.ywca.org/","YWCA Butler","120 W Cunningham St","Butler","PA","16001-5742","US","<MISSING>","724 287-5709","YWCA","40.860147","-79.896322","<MISSING>"
"https://www.ywca.org/","YWCA Cambridge","7 Temple Street","Cambridge","MA","2139","US","<MISSING>","(617)491-6050","YWCA","42.366685","-71.104342","<MISSING>"
"https://www.ywca.org/","YWCA Canton (IL)","111 N Avenue A","Canton","IL","44702-1035","US","<MISSING>","309 647-0441","YWCA","40.557285","-90.036494","<MISSING>"
"https://www.ywca.org/","YWCA Canton (OH)","231 6th St NE","Canton","OH","61520-2503","US","<MISSING>","330 453-7644","YWCA","40.802096","-81.371894","<MISSING>"
"https://www.ywca.org/","YWCA Carlisle","301 G Street","Carlisle","PA","17013-1389","US","<MISSING>","717 243-3818","YWCA","40.215468","-77.195154","<MISSING>"
"https://www.ywca.org/","YWCA Cass Clay","3100 12th Ave N","Fargo","ND","58102-3070","US","<MISSING>","701 232-2547","YWCA","46.890169","-96.827468","<MISSING>"
"https://www.ywca.org/","YWCA Central Alabama","309 23rd St N","Birmingham","AL","35203-3820","US","<MISSING>","205-322-9922","YWCA","33.518676","-86.80265","<MISSING>"
"https://www.ywca.org/","YWCA Central Carolinas","3420 Park Road","Charlotte","NC","28209-2008","US","<MISSING>","704 525-5770","YWCA","35.183661","-80.854298","<MISSING>"
"https://www.ywca.org/","YWCA Central Maine","130 East Avenue","Lewiston","ME","4240","US","<MISSING>","207-795-4050","YWCA","44.093319","-70.199679","<MISSING>"
"https://www.ywca.org/","YWCA Central Massachusetts","1 Salem Sq","Worcester","MA","01608-2015","US","<MISSING>","508-791-3181","YWCA","42.260039","-71.798895","<MISSING>"
"https://www.ywca.org/","YWCA Central Virginia","626 Church St","Lynchburg","VA","24504-1304","US","<MISSING>","434 847-7751","YWCA","37.416269","-79.144423","<MISSING>"
"https://www.ywca.org/","YWCA Charleston","1426 Kanawha Blvd. East","Charleston","WV","25301-2411","US","<MISSING>","304-340-3555","YWCA","38.340848","-81.626297","<MISSING>"
"https://www.ywca.org/","YWCA City of New York","50 Broadway @ Exchange Place","New York","NY","10004-1607","US","<MISSING>","212-755-4500","YWCA","40.706794","-74.012481","<MISSING>"
"https://www.ywca.org/","YWCA Clark County","3609 Main St","Vancouver","WA","98663-2225","US","<MISSING>","360-906-9119","YWCA","45.64765","-122.667548","<MISSING>"
"https://www.ywca.org/","YWCA Clinton","317 7th Ave S","Clinton","IA","52732-5635","US","<MISSING>","563 242-2110","YWCA","41.838572","-90.191284","<MISSING>"
"https://www.ywca.org/","YWCA Columbus","65 S 4th St","Columbus","OH","43215-4314","US","<MISSING>","614-627-1209","YWCA","39.961171","-82.996603","<MISSING>"
"https://www.ywca.org/","YWCA Contra Costa County/Sacramento","1320 Arnold Dr Ste 170","Martinez","CA","94553-6537","US","<MISSING>","925 372-4213","YWCA","37.992701","-122.099322","<MISSING>"
"https://www.ywca.org/","YWCA Corpus Christi","4601 Corona Dr","Corpus Christi","TX","78411-5400","US","<MISSING>","361 857-5661","YWCA","27.713298","-97.38935","<MISSING>"
"https://www.ywca.org/","YWCA Cortland","14 Clayton Ave","Cortland","NY","13045-2502","US","<MISSING>","607-753-9651","YWCA","42.598253","-76.181363","<MISSING>"
"https://www.ywca.org/","YWCA Darien-Norwalk","49 Old Kings Hwy N","Darien","CT","06820-4607","US","<MISSING>","203-655-2535","YWCA","41.08033","-73.46442","<MISSING>"
"https://www.ywca.org/","YWCA Dayton","141 W 3rd St","Dayton","OH","45402-1814","US","<MISSING>","937-260-4860","YWCA","39.759428","-84.195099","<MISSING>"
